NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01001,BUTTER WITH SALT,15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.003,0.17,2499,684,2.32,1.5,60,7,51.368,21.021,3.043,215
01002,BUTTER WHIPPED WITH SALT,15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.16,2,23,26,659,0.05,0.016,0.004,1,0,0.005,0.034,0.042,0.003,0.13,2499,684,2.32,1.5,60,7,50.489,23.426,3.012,219
01003,BUTTER OIL ANHYDROUS,0.24,876,0.28,99.48,0,0,0,0,4,0,0,3,5,2,0.01,0.001,0,0,0,0.001,0.005,0.003,0.001,0.01,3069,840,2.8,1.8,73,8.6,61.924,28.732,3.694,256
01004,CHEESE BLUE,42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,0.166,1.22,721,198,0.25,0.5,21,2.4,18.669,7.778,0.8,75
01005,CHEESE BRICK,41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.014,0.351,0.118,0.065,1.26,1080,292,0.26,0.5,22,2.5,18.764,8.598,0.784,94
01006,CHEESE BRIE,48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.235,1.65,592,174,0.24,0.5,20,2.3,17.41,8.013,0.826,100
01007,CHEESE CAMEMBERT,51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,0.227,1.3,820,241,0.21,0.4,18,2,15.259,7.023,0.724,72
01008,CHEESE CARAWAY,39.28,376,25.18,29.2,3.28,3.06,0,,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,0,0.031,0.45,0.18,0.074,0.27,1054,271,,,,,18.584,8.275,0.83,93
01009,CHEESE CHEDDAR,37.1,406,24.04,33.82,3.71,1.33,0,0.28,675,0.16,27,473,76,644,3.43,0.056,0.033,28.3,0,0.027,0.434,0.039,0.049,0.88,994,263,0.78,0.6,24,2.9,19.368,8.428,1.433,102
01010,CHEESE CHESHIRE,37.65,387,23.37,30.6,3.6,4.78,0,,643,0.21,21,464,95,700,2.79,0.042,0.012,14.5,0,0.046,0.293,0.08,0.074,0.83,985,233,,,,,19.475,8.671,0.87,103
